folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,37,1,objective,25,0.659132,5259,3936,0.0632622,96.1382,2206,948,0.280591,82.8059,4383,2260,0.557522,60.3982,10495,7046,0.397531,77.6327,50500,2431,48149,4.81386
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,38,2,objective,32,0.827301,5986,3971,0.0392848,97.2803,2983,1726,0.14832,90.2086,4608,2372,0.617622,58.4739,12896,9351,0.405304,77.6922,62657,2589,60174,4.13202
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,39,2,objective,32,0.823036,6098,4050,0.0402469,97.3086,3007,1732,0.165704,89.4342,4601,2370,0.629958,58.6498,12908,9375,0.40992,77.408,63034,2613,60520,4.14538
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,40,1,objective,25,0.645978,5247,3928,0.0623727,96.2322,2192,942,0.283439,82.6964,4358,2260,0.560619,59.7345,10410,6968,0.392222,77.8416,50109,2355,47829,4.69975
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,41,1,objective,25,0.650157,5257,3935,0.0635324,96.2389,2218,964,0.248963,84.0249,4392,2276,0.581283,58.6555,10524,7070,0.396464,77.6521,50471,2403,48137,4.76115
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,42,1,objective,21,0.578096,4098,3045,0.0486043,97.3727,1721,785,0.179618,88.7898,3509,1725,0.646957,56.3478,9557,6883,0.366265,78.6866,43068,1862,41258,4.3234
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,43,2,objective,32,0.825422,5865,3889,0.0401131,97.4029,2946,1697,0.155569,89.9234,4604,2350,0.629787,57.9574,13063,9472,0.400866,77.9666,62707,2572,60228,4.10162
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,44,2,objective,32,0.800242,5852,3889,0.0406274,97.3515,2902,1677,0.157424,89.9821,4529,2300,0.644783,57.2609,12863,9391,0.401661,77.6701,61697,2557,59240,4.14445
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,45,1,objective,25,0.652247,5294,3986,0.059709,96.4877,2211,948,0.275316,83.5443,4346,2268,0.55776,59.7443,10329,6891,0.382383,78.3631,50099,2395,47786,4.78053
C,Cd-Id_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Id_s_7_100-1.txt,Cd,Id,7,100,1,46,1,objective,25,0.652859,5332,3980,0.0590452,96.5075,2243,982,0.265784,84.2159,4392,2266,0.557811,60.0618,10525,7107,0.394963,77.7403,50676,2405,48346,4.74584
